id,speaker,role,N_clean,S_clean,D_clean,I_clean,wer_clean,speaker_sex,speaker_age,age_cohort,province,enclave,ccaa_normalized,year,full_date,snr_db,utmos,nisqa_mos,nisqa_noi,nisqa_col,nisqa_dis,nisqa_loud,dialect_alvar,dialect_mouton,dialect_fernandez,speaker_num
COSER-0102-01,E2,Interviewer,1029,103,190,18,0.3022351797862002,,,,Álava,Berganzo (Zambrana) (0102),Basque Country,1992,1992-07-14,-2.7135157585144043,1.2454936504364014,1.1073005199432373,1.3431700468063354,2.4158332347869877,3.2666494846343994,2.259672880172729,Bilingual Areas,Northern,Eastern,2
COSER-0102-01,I1,Informant,4990,579,839,68,0.2977955911823647,Female,71.0,71-85,Álava,Berganzo (Zambrana) (0102),Basque Country,1992,1992-07-14,-2.7135157585144043,1.2454936504364014,1.1073005199432373,1.3431700468063354,2.4158332347869877,3.2666494846343994,2.259672880172729,Bilingual Areas,Northern,Eastern,1
COSER-0102-01,I2,Informant,169,22,101,2,0.7396449704142012,Male,,,Álava,Berganzo (Zambrana) (0102),Basque Country,1992,1992-07-14,-2.7135157585144043,1.2454936504364014,1.1073005199432373,1.3431700468063354,2.4158332347869877,3.2666494846343994,2.259672880172729,Bilingual Areas,Northern,Eastern,2
COSER-0102-01,E3,Interviewer,45,3,6,0,0.2,,,,Álava,Berganzo (Zambrana) (0102),Basque Country,1992,1992-07-14,-2.7135157585144043,1.2454936504364014,1.1073005199432373,1.3431700468063354,2.4158332347869877,3.2666494846343994,2.259672880172729,Bilingual Areas,Northern,Eastern,3
COSER-0102-01,E1,Interviewer,851,66,204,10,0.3290246768507638,,,,Álava,Berganzo (Zambrana) (0102),Basque Country,1992,1992-07-14,-2.7135157585144043,1.2454936504364014,1.1073005199432373,1.3431700468063354,2.4158332347869877,3.2666494846343994,2.259672880172729,Bilingual Areas,Northern,Eastern,1
COSER-4214-01,E2,Interviewer,423,44,133,4,0.4278959810874704,,,,Toledo,La Nava de Ricomalillo (4214),Castile-La Mancha,1991,1991-03-10,4.347898364067078,1.2506769895553589,2.1246883869171143,1.87812614440918,3.022780656814575,3.7685606479644775,2.9559805393218994,Primigenial,Northern,Southern,2
COSER-4214-01,I4,Informant,3346,636,1052,111,0.5376569037656904,Male,82.0,71-85,Toledo,La Nava de Ricomalillo (4214),Castile-La Mancha,1991,1991-03-10,4.347898364067078,1.2506769895553589,2.1246883869171143,1.87812614440918,3.022780656814575,3.7685606479644775,2.9559805393218994,Primigenial,Northern,Southern,4
COSER-4214-01,I3,Informant,3723,475,974,63,0.4061240934730056,Female,,,Toledo,La Nava de Ricomalillo (4214),Castile-La Mancha,1991,1991-03-10,4.347898364067078,1.2506769895553589,2.1246883869171143,1.87812614440918,3.022780656814575,3.7685606479644775,2.9559805393218994,Primigenial,Northern,Southern,3
COSER-4214-01,I2,Informant,3110,550,986,94,0.5241157556270096,Female,80.0,71-85,Toledo,La Nava de Ricomalillo (4214),Castile-La Mancha,1991,1991-03-10,4.347898364067078,1.2506769895553589,2.1246883869171143,1.87812614440918,3.022780656814575,3.7685606479644775,2.9559805393218994,Primigenial,Northern,Southern,2
COSER-4214-01,E3,Interviewer,21,0,16,0,0.7619047619047619,,,,Toledo,La Nava de Ricomalillo (4214),Castile-La Mancha,1991,1991-03-10,4.347898364067078,1.2506769895553589,2.1246883869171143,1.87812614440918,3.022780656814575,3.7685606479644775,2.9559805393218994,Primigenial,Northern,Southern,3
COSER-4214-01,E1,Interviewer,795,36,173,6,0.270440251572327,,,,Toledo,La Nava de Ricomalillo (4214),Castile-La Mancha,1991,1991-03-10,4.347898364067078,1.2506769895553589,2.1246883869171143,1.87812614440918,3.022780656814575,3.7685606479644775,2.9559805393218994,Primigenial,Northern,Southern,1
COSER-4214-01,I1,Informant,1719,194,480,28,0.4083769633507853,Male,57.0,50-70,Toledo,La Nava de Ricomalillo (4214),Castile-La Mancha,1991,1991-03-10,4.347898364067078,1.2506769895553589,2.1246883869171143,1.87812614440918,3.022780656814575,3.7685606479644775,2.9559805393218994,Primigenial,Northern,Southern,1
COSER-3412-01,E2,Interviewer,127,11,8,5,0.1889763779527559,,,,Palencia,Muñeca (Guardo) (3412),Castile and Leon,1993,1993-07-08,-2.277987003326416,1.317879557609558,2.3544130325317383,1.7498774528503418,3.205415964126587,3.971839666366577,3.5226316452026367,Primigenial,Northern,Central-Northern,2
COSER-3412-01,I1,Informant,3644,730,379,228,0.3669045005488474,Male,66.0,50-70,Palencia,Muñeca (Guardo) (3412),Castile and Leon,1993,1993-07-08,-2.277987003326416,1.317879557609558,2.3544130325317383,1.7498774528503418,3.205415964126587,3.971839666366577,3.5226316452026367,Primigenial,Northern,Central-Northern,1
COSER-3412-01,I2,Informant,28,1,18,1,0.7142857142857143,Female,,,Palencia,Muñeca (Guardo) (3412),Castile and Leon,1993,1993-07-08,-2.277987003326416,1.317879557609558,2.3544130325317383,1.7498774528503418,3.205415964126587,3.971839666366577,3.5226316452026367,Primigenial,Northern,Central-Northern,2
COSER-3412-01,E3,Interviewer,25,0,7,0,0.28,,,,Palencia,Muñeca (Guardo) (3412),Castile and Leon,1993,1993-07-08,-2.277987003326416,1.317879557609558,2.3544130325317383,1.7498774528503418,3.205415964126587,3.971839666366577,3.5226316452026367,Primigenial,Northern,Central-Northern,3
